,Alive,Currently Infected,Dead,Time Step,Total Infected So Far
0,1981.0,13.0,19.0,0.0,63.0
1,1974.0,5.0,26.0,1.0,68.0
2,1971.0,2.0,29.0,2.0,70.0
3,1971.0,2.0,29.0,3.0,72.0
4,1970.0,0.0,30.0,4.0,72.0
5,1970.0,0.0,30.0,5.0,72.0
6,1970.0,0.0,30.0,6.0,72.0
7,1970.0,0.0,30.0,7.0,72.0
8,1970.0,0.0,30.0,8.0,72.0
9,1970.0,0.0,30.0,9.0,72.0
10,1970.0,0.0,30.0,10.0,72.0
11,1970.0,0.0,30.0,11.0,72.0
12,1970.0,0.0,30.0,12.0,72.0
13,1970.0,0.0,30.0,13.0,72.0
14,1970.0,0.0,30.0,14.0,72.0
15,1970.0,0.0,30.0,15.0,72.0
16,1970.0,0.0,30.0,16.0,72.0
17,1970.0,0.0,30.0,17.0,72.0
18,1970.0,0.0,30.0,18.0,72.0
19,1970.0,0.0,30.0,19.0,72.0
20,1970.0,0.0,30.0,20.0,72.0
